10	43.3333
10.02	46.6667
10.04	43.3333
10.06	53.3333
10.08	56.6667
10.1	60
10.12	53.3333
10.14	100
10.16	76.6667
10.18	76.6667
10.2	73.3333
10.22	96.6667
10.24	76.6667
10.26	60
10.28	40
10.3	50
10.32	56.6667
10.34	36.6667
10.36	63.3333
10.38	56.6667
10.4	46.6667
10.42	76.6667
10.44	56.6667
10.46	90
10.48	56.6667
10.5	36.6667
10.52	56.6667
10.54	53.3333
10.56	56.6667
10.58	70
10.6	66.6667
10.62	90
10.64	46.6667
10.66	53.3333
10.68	53.3333
10.7	70
10.72	60
10.74	73.3333
10.76	90
10.78	60
10.8	53.3333
10.82	70
10.84	56.6667
10.86	40
10.88	76.6667
10.9	63.3333
10.92	56.6667
10.94	86.6667
10.96	60
10.98	63.3333
11	46.6667
11.02	66.6667
11.04	56.6667
11.06	50
11.08	56.6667
11.1	80
11.12	56.6667
11.14	80
11.16	46.6667
11.18	43.3333
11.2	60
11.22	60
11.24	43.3333
11.26	73.3333
11.28	66.6667
11.3	50
11.32	56.6667
11.34	43.3333
11.36	70
11.38	76.6667
11.4	43.3333
11.42	53.3333
11.44	50
11.46	43.3333
11.48	53.3333
11.5	86.6667
11.52	36.6667
11.54	70
11.56	73.3333
11.58	53.3333
11.6	66.6667
11.62	46.6667
11.64	50
11.66	70
11.68	73.3333
11.7	40
11.72	56.6667
11.74	76.6667
11.76	56.6667
11.78	53.3333
11.8	63.3333
11.82	63.3333
11.84	40
11.86	66.6667
11.88	66.6667
11.9	60
11.92	43.3333
11.94	83.3333
11.96	60
11.98	43.3333
12	60
12.02	60
12.04	83.3333
12.06	50
12.08	53.3333
12.1	56.6667
12.12	50
12.14	60
12.16	50
12.18	73.3333
12.2	40
12.22	80
12.24	80
12.26	53.3333
12.28	73.3333
12.3	46.6667
12.32	33.3333
12.34	60
12.36	56.6667
12.38	26.6667
12.4	46.6667
12.42	53.3333
12.44	43.3333
12.46	66.6667
12.48	43.3333
12.5	46.6667
12.52	46.6667
12.54	50
12.56	56.6667
12.58	46.6667
12.6	46.6667
12.62	70
12.64	73.3333
12.66	43.3333
12.68	53.3333
12.7	70
12.72	43.3333
12.74	46.6667
12.76	36.6667
12.78	53.3333
12.8	53.3333
12.82	36.6667
12.84	43.3333
12.86	60
12.88	40
12.9	43.3333
12.92	53.3333
12.94	36.6667
12.96	53.3333
12.98	36.6667
13	46.6667
13.02	70
13.04	70
13.06	56.6667
13.08	43.3333
13.1	56.6667
13.12	63.3333
13.14	46.6667
13.16	66.6667
13.18	30
13.2	73.3333
13.22	33.3333
13.24	53.3333
13.26	83.3333
13.28	50
13.3	53.3333
13.32	66.6667
13.34	33.3333
13.36	43.3333
13.38	46.6667
13.4	56.6667
13.42	60
13.44	40
13.46	20
13.48	76.6667
13.5	60
13.52	56.6667
13.54	60
13.56	50
13.58	50
13.6	36.6667
13.62	60
13.64	80
13.66	73.3333
13.68	53.3333
13.7	26.6667
13.72	46.6667
13.74	63.3333
13.76	53.3333
13.78	50
13.8	50
13.82	66.6667
