10	43.3333
10.02	26.6667
10.04	46.6667
10.06	53.3333
10.08	43.3333
10.1	50
10.12	56.6667
10.14	53.3333
10.16	56.6667
10.18	56.6667
10.2	80
10.22	73.3333
10.24	46.6667
10.26	70
10.28	60
10.3	56.6667
10.32	90
10.34	80
10.36	40
10.38	43.3333
10.4	53.3333
10.42	43.3333
10.44	50
10.46	63.3333
10.48	43.3333
10.5	60
10.52	53.3333
10.54	60
10.56	60
10.58	63.3333
10.6	50
10.62	53.3333
10.64	63.3333
10.66	43.3333
10.68	53.3333
10.7	46.6667
10.72	23.3333
10.74	70
10.76	50
10.78	63.3333
10.8	50
10.82	43.3333
10.84	43.3333
10.86	60
10.88	50
10.9	40
10.92	40
10.94	53.3333
10.96	36.6667
10.98	36.6667
11	50
11.02	43.3333
11.04	63.3333
11.06	30
11.08	50
11.1	43.3333
11.12	60
11.14	50
11.16	80
11.18	53.3333
11.2	50
11.22	53.3333
11.24	63.3333
11.26	50
11.28	46.6667
11.3	63.3333
11.32	50
11.34	40
11.36	33.3333
11.38	50
11.4	73.3333
11.42	63.3333
11.44	40
11.46	50
11.48	36.6667
11.5	50
11.52	60
11.54	46.6667
11.56	56.6667
11.58	43.3333
11.6	33.3333
11.62	46.6667
11.64	53.3333
11.66	63.3333
11.68	53.3333
11.7	50
11.72	66.6667
11.74	80
11.76	56.6667
11.78	46.6667
11.8	56.6667
11.82	40
11.84	66.6667
11.86	60
11.88	53.3333
11.9	30
11.92	53.3333
11.94	50
11.96	40
11.98	46.6667
12	50
12.02	43.3333
12.04	43.3333
12.06	70
12.08	46.6667
12.1	56.6667
12.12	50
12.14	63.3333
12.16	50
12.18	50
12.2	50
12.22	63.3333
12.24	53.3333
12.26	43.3333
12.28	40
12.3	46.6667
12.32	63.3333
12.34	70
12.36	56.6667
12.38	46.6667
12.4	56.6667
12.42	66.6667
12.44	40
12.46	66.6667
12.48	46.6667
12.5	43.3333
12.52	50
12.54	46.6667
12.56	66.6667
12.58	60
12.6	40
12.62	40
12.64	70
12.66	70
12.68	56.6667
12.7	76.6667
12.72	33.3333
12.74	63.3333
12.76	66.6667
12.78	53.3333
12.8	36.6667
12.82	73.3333
12.84	63.3333
12.86	36.6667
12.88	46.6667
12.9	26.6667
12.92	60
12.94	30
12.96	43.3333
12.98	40
13	23.3333
13.02	40
13.04	53.3333
13.06	50
13.08	40
13.1	36.6667
13.12	36.6667
13.14	43.3333
13.16	46.6667
13.18	26.6667
13.2	60
13.22	43.3333
13.24	36.6667
13.26	26.6667
13.28	60
13.3	70
13.32	50
13.34	43.3333
13.36	70
13.38	60
13.4	43.3333
13.42	53.3333
13.44	23.3333
13.46	43.3333
13.48	56.6667
13.5	53.3333
13.52	50
13.54	66.6667
13.56	33.3333
13.58	56.6667
13.6	36.6667
13.62	46.6667
13.64	70
13.66	46.6667
13.68	56.6667
13.7	43.3333
13.72	46.6667
13.74	26.6667
13.76	50
13.78	36.6667
13.8	43.3333
13.82	43.3333
13.84	43.3333
13.86	36.6667
13.88	30
13.9	43.3333
13.92	33.3333
13.94	56.6667
13.96	60
13.98	43.3333
14	26.6667
14.02	30
14.04	23.3333
14.06	30
14.08	40
14.1	63.3333
14.12	46.6667
14.14	36.6667
14.16	40
14.18	30
14.2	26.6667
14.22	33.3333
14.24	13.3333
14.26	73.3333
14.28	36.6667
14.3	63.3333
14.32	53.3333
14.34	30
14.36	36.6667
14.38	36.6667
14.4	53.3333
14.42	43.3333
14.44	53.3333
14.46	43.3333
14.48	66.6667
14.5	56.6667
14.52	50
14.54	46.6667
14.56	50
14.58	40
14.6	36.6667
14.62	50
14.64	33.3333
14.66	46.6667
14.68	43.3333
14.7	36.6667
14.72	33.3333
14.74	40
14.76	36.6667
14.78	36.6667
14.8	40
14.82	33.3333
14.84	40
14.86	30
14.88	36.6667
14.9	43.3333
14.92	43.3333
14.94	33.3333
14.96	30
14.98	33.3333
15	60
15.02	23.3333
15.04	33.3333
15.06	33.3333
15.08	30
15.1	40
15.12	73.3333
15.14	40
15.16	43.3333
15.18	60
15.2	43.3333
15.22	33.3333
15.24	33.3333
15.26	53.3333
15.28	46.6667
15.3	36.6667
15.32	40
15.34	50
15.36	46.6667
15.38	56.6667
15.4	33.3333
15.42	26.6667
15.44	43.3333
15.46	63.3333
15.48	30
15.5	46.6667
15.52	53.3333
15.54	50
15.56	46.6667
15.58	36.6667
15.6	33.3333
15.62	30
15.64	33.3333
15.66	43.3333
15.68	60
15.7	40
15.72	36.6667
15.74	56.6667
15.76	46.6667
15.78	50
15.8	33.3333
15.82	40
15.84	36.6667
15.86	36.6667
15.88	43.3333
15.9	43.3333
15.92	40
15.94	23.3333
15.96	40
15.98	23.3333
16	30
16.02	46.6667
16.04	40
16.06	66.6667
16.08	50
16.1	43.3333
16.12	56.6667
16.14	16.6667
16.16	23.3333
16.18	50
16.2	43.3333
16.22	40
16.24	36.6667
16.26	30
16.28	20
16.3	56.6667
16.32	33.3333
16.34	46.6667
16.36	40
16.38	40
16.4	43.3333
16.42	26.6667
16.44	33.3333
16.46	36.6667
16.48	26.6667
16.5	30
16.52	16.6667
16.54	26.6667
16.56	36.6667
16.58	36.6667
16.6	30
16.62	50
16.64	36.6667
16.66	13.3333
16.68	46.6667
16.7	36.6667
16.72	46.6667
16.74	33.3333
16.76	23.3333
16.78	36.6667
16.8	30
16.82	43.3333
16.84	43.3333
16.86	56.6667
16.88	50
16.9	50
16.92	26.6667
16.94	33.3333
16.96	60
16.98	33.3333
17	26.6667
17.02	40
17.04	20
17.06	66.6667
17.08	26.6667
17.1	43.3333
17.12	36.6667
17.14	46.6667
17.16	30
17.18	50
17.2	50
17.22	36.6667
17.24	20
17.26	20
17.28	33.3333
17.3	36.6667
17.32	46.6667
17.34	26.6667
17.36	36.6667
17.38	26.6667
17.4	36.6667
17.42	50
17.44	33.3333
17.46	46.6667
17.48	26.6667
17.5	40
17.52	70
17.54	63.3333
17.56	43.3333
17.58	30
17.6	66.6667
17.62	50
17.64	70
17.66	56.6667
17.68	53.3333
17.7	43.3333
17.72	46.6667
17.74	46.6667
17.76	53.3333
17.78	56.6667
17.8	63.3333
17.82	46.6667
17.84	36.6667
17.86	43.3333
17.88	30
17.9	53.3333
17.92	33.3333
17.94	30
17.96	26.6667
17.98	26.6667
18	16.6667
18.02	36.6667
18.04	16.6667
18.06	30
18.08	43.3333
18.1	43.3333
18.12	23.3333
18.14	26.6667
18.16	26.6667
18.18	30
18.2	30
18.22	33.3333
18.24	33.3333
18.26	33.3333
18.28	20
18.3	56.6667
18.32	53.3333
18.34	16.6667
18.36	23.3333
18.38	53.3333
18.4	23.3333
18.42	46.6667
18.44	30
18.46	23.3333
18.48	50
18.5	33.3333
18.52	16.6667
18.54	23.3333
18.56	40
18.58	26.6667
18.6	26.6667
18.62	40
18.64	33.3333
18.66	30
18.68	46.6667
18.7	23.3333
18.72	33.3333
18.74	60
18.76	26.6667
18.78	33.3333
18.8	46.6667
18.82	33.3333
18.84	16.6667
18.86	33.3333
18.88	13.3333
18.9	60
18.92	43.3333
18.94	36.6667
18.96	50
18.98	73.3333
19	73.3333
19.02	66.6667
19.04	33.3333
19.06	43.3333
19.08	46.6667
19.1	60
19.12	43.3333
19.14	23.3333
19.16	20
19.18	33.3333
19.2	43.3333
19.22	50
19.24	43.3333
19.26	50
19.28	23.3333
19.3	56.6667
19.32	50
19.34	63.3333
19.36	63.3333
19.38	46.6667
19.4	46.6667
19.42	53.3333
19.44	56.6667
19.46	13.3333
19.48	60
19.5	40
19.52	30
19.54	26.6667
19.56	16.6667
19.58	23.3333
19.6	40
19.62	30
19.64	23.3333
19.66	43.3333
19.68	26.6667
19.7	43.3333
19.72	23.3333
19.74	10
19.76	30
19.78	23.3333
19.8	36.6667
19.82	23.3333
19.84	26.6667
19.86	23.3333
19.88	23.3333
19.9	50
19.92	23.3333
19.94	16.6667
19.96	23.3333
19.98	30
20	30
20.02	26.6667
20.04	23.3333
20.06	20
20.08	43.3333
20.1	20
20.12	43.3333
20.14	40
20.16	36.6667
20.18	33.3333
20.2	30
20.22	10
20.24	43.3333
20.26	20
20.28	16.6667
20.3	13.3333
20.32	26.6667
20.34	43.3333
20.36	40
20.38	23.3333
20.4	30
20.42	33.3333
20.44	26.6667
20.46	40
20.48	56.6667
20.5	30
20.52	30
20.54	23.3333
20.56	10
20.58	33.3333
20.6	26.6667
20.62	30
20.64	43.3333
20.66	16.6667
20.68	10
20.7	10
20.72	10
20.74	20
20.76	40
20.78	33.3333
20.8	30
20.82	33.3333
20.84	20
20.86	26.6667
20.88	33.3333
20.9	20
20.92	36.6667
20.94	26.6667
20.96	23.3333
20.98	20
21	16.6667
21.02	33.3333
21.04	33.3333
21.06	16.6667
21.08	23.3333
21.1	36.6667
21.12	30
21.14	26.6667
21.16	33.3333
21.18	70
21.2	16.6667
21.22	16.6667
21.24	40
21.26	26.6667
21.28	6.66667
21.3	30
21.32	33.3333
21.34	30
21.36	23.3333
21.38	26.6667
21.4	53.3333
21.42	16.6667
21.44	23.3333
21.46	33.3333
21.48	33.3333
21.5	16.6667
21.52	16.6667
21.54	20
21.56	20
21.58	40
21.6	26.6667
21.62	36.6667
21.64	13.3333
21.66	23.3333
21.68	26.6667
21.7	23.3333
21.72	26.6667
21.74	23.3333
21.76	16.6667
21.78	26.6667
21.8	26.6667
21.82	33.3333
21.84	10
21.86	43.3333
21.88	3.33333
21.9	30
21.92	23.3333
21.94	30
21.96	30
21.98	36.6667
22	23.3333
22.02	13.3333
22.04	30
22.06	30
22.08	20
22.1	20
22.12	40
22.14	36.6667
22.16	16.6667
22.18	20
22.2	26.6667
22.22	23.3333
22.24	20
22.26	33.3333
22.28	33.3333
22.3	23.3333
22.32	30
22.34	26.6667
22.36	23.3333
22.38	16.6667
22.4	43.3333
22.42	33.3333
22.44	23.3333
22.46	23.3333
22.48	10
22.5	26.6667
22.52	33.3333
22.54	23.3333
22.56	16.6667
22.58	13.3333
22.6	23.3333
22.62	20
22.64	30
22.66	30
22.68	26.6667
22.7	20
22.72	33.3333
22.74	16.6667
22.76	43.3333
22.78	33.3333
22.8	30
22.82	70
22.84	66.6667
22.86	103.333
22.88	86.6667
22.9	103.333
22.92	130
22.94	156.667
22.96	203.333
22.98	170
23	86.6667
23.02	90
23.04	83.3333
23.06	53.3333
23.08	50
23.1	50
23.12	26.6667
23.14	63.3333
23.16	60
23.18	56.6667
23.2	36.6667
23.22	60
23.24	50
23.26	26.6667
23.28	56.6667
23.3	33.3333
23.32	26.6667
23.34	16.6667
23.36	36.6667
23.38	40
23.4	23.3333
23.42	46.6667
23.44	43.3333
23.46	63.3333
23.48	43.3333
23.5	46.6667
23.52	60
23.54	100
23.56	93.3333
23.58	53.3333
23.6	63.3333
23.62	80
23.64	23.3333
23.66	43.3333
23.68	63.3333
23.7	46.6667
23.72	33.3333
23.74	60
23.76	53.3333
23.78	136.667
23.8	160
23.82	196.667
23.84	140
23.86	100
23.88	123.333
23.9	96.6667
